"","Fiscal.Year","ProductOrServiceArea","Customer","SubCustomer","ProductOrServiceCode","ProductOrServiceCodeText","MaxOfPSCscore","MaxOfIsOnlyOneSource","MaxOfIsSingleAward","LengthScore","PricingScore","MaxOfIsOfficialPBL","MaxOfIsPerformanceBasedLogistics","Action.Obligation","SubCustomer.sum","SubCustomer.detail","SubCustomer.platform","SubCustomer.component","Subcustomer.Obsolete","ProductServiceOrRnDarea","ServicesCategory.detail","ServicesCategory.sum","ProductsCategory.detail","ProductOrServiceArea.DLA","ProductOrServicesCategory.Graph","ProductServiceOrRnDarea.sum","SupplyServiceFRC","SupplyServiceERS","Deflator.2005","Deflator.2011","Deflator.2012","Deflator.2013","Deflator.2014","Deflator.2015","Deflator.2016","Obligation.2013","Obligation.2014","Obligation.2015","Obligation.2016","LogOfAction.Obligation","Fiscal.Year.End","Fiscal.Year.Start","Graph","LengthSingleScore","pObligation","pObligationLS","JointScore","AddressCat","pObligationA"
"1",2000-01-01,"Fuels","Defense","Army","9130","LIQUID PROPELLANTS -PETROLEUM BASE",-2,0,0,0,0,"Not PBL","Not PBL",86971,"Army","Army","Army","Army",FALSE,"Fuels","Fuels","Products (All)","Fuels","Fuels",TRUE,"Products (All)","Supplies","Supplies",0.877,0.766675409,0.749316473,0.734505863,0.736351039,0.720875543,0.7202,0.000118407495952146,0.000118110786016016,0.000120646345745149,0.000120759511246876,4.93937446365848,2000-09-30,1999-10-01,TRUE,0,3.85965031115801e-08,6.71692651982033e-08,0,"No history [0-3]",5.46025996976629e-08
"2",2000-01-01,"Fuels","Defense","Army","9140","FUEL OILS",-2,0,0,0,0,"Not PBL","Not PBL",56895,"Army","Army","Army","Army",FALSE,"Fuels","Fuels","Products (All)","Fuels","Fuels",TRUE,"Products (All)","Supplies","Supplies",0.877,0.766675409,0.749316473,0.734505863,0.736351039,0.720875543,0.7202,7.74602394154068e-05,7.72661366476323e-05,7.89248581845701e-05,7.89988891974452e-05,4.75507410175847,2000-09-30,1999-10-01,TRUE,0,2.52491985205798e-08,4.39410302681558e-08,0,"No history [0-3]",3.57201240620268e-08
"3",2000-01-01,"Fuels","Defense","Army","9110","FUELS, SOLID",-2,0,0,0,0,"Not PBL","Not PBL",75000,"Army","Army","Army","Army",FALSE,"Fuels","Fuels","Products (All)","Fuels","Fuels",TRUE,"Products (All)","Supplies","Supplies",0.877,0.766675409,0.749316473,0.734505863,0.736351039,0.720875543,0.7202,0.000102109464032964,0.00010185359431536,0.000104040150520129,0.000104137739516801,4.8750612633917,2000-09-30,1999-10-01,TRUE,0,3.32839421573686e-08,5.79238469129393e-08,0,"No history [0-3]",4.70869022700063e-08
"4",2000-01-01,"Other","Defense","DLA","5510","LUMBER & RELATED WOOD MATERIALS",-2,0,0,0,0,"Not PBL","Not PBL",168366,"Other DoD","DLA","DLA","DLA",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",0.877,0.766675409,0.749316473,0.734505863,0.736351039,0.720875543,0.7202,0.000229223493618321,0.000228649096806666,0.000233557653099628,0.000233776728686476,5.22625439415166,2000-09-30,1999-10-01,TRUE,0,7.47184560702337e-08,1.30032085457919e-07,0,"No history [0-3]",1.05704445167892e-07
"5",2001-01-01,"Fuels","Defense","Army","9140","FUEL OILS",-2,0,0,0,0,"Not PBL","Not PBL",204237,"Army","Army","Army","Army",FALSE,"Fuels","Fuels","Products (All)","Fuels","Fuels",TRUE,"Products (All)","Supplies","Supplies",0.8992,0.7860827,0.768284347,0.753098827,0.756027714,0.7401411,0.7395,0.000271195482820743,0.000270144858737282,0.000275943330264999,0.000276182555780933,5.3101344225707,2001-09-30,2000-10-01,TRUE,0,8.82719776148373e-08,1.53619198527909e-07,0,"No history [0-3]",1.24878656604979e-07
"6",2001-01-01,"Fuels","Defense","Army","9130","LIQUID PROPELLANTS -PETROLEUM BASE",-2,0,0,0,0,"Not PBL","Not PBL",90024,"Army","Army","Army","Army",FALSE,"Fuels","Fuels","Products (All)","Fuels","Fuels",TRUE,"Products (All)","Supplies","Supplies",0.8992,0.7860827,0.768284347,0.753098827,0.756027714,0.7401411,0.7395,0.000119538096160121,0.000119074999941074,0.000121630862007258,0.00012173630831643,4.95435830586233,2001-09-30,2000-10-01,TRUE,0,3.89087017180928e-08,6.77125825794369e-08,0,"No history [0-3]",5.50442680915145e-08
"7",2001-01-01,"Other","Defense","Army","9420","FIBERS VEGETABLE ANIMAL & SYNTHETIC",-2,0,0,0,0,"Not PBL","Not PBL",93139,"Army","Army","Army","Army",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",0.8992,0.7860827,0.768284347,0.753098827,0.756027714,0.7401411,0.7395,0.000123674339490108,0.000123195219269435,0.000125839518978206,0.00012594861392833,4.96913157075783,2001-09-30,2000-10-01,TRUE,0,4.02550160992784e-08,7.00555655032677e-08,0,"No history [0-3]",5.69489034676927e-08
"8",2001-01-01,"Fuels","Defense","Army","9110","FUELS, SOLID",-2,0,0,0,0,"Not PBL","Not PBL",53754,"Army","Army","Army","Army",FALSE,"Fuels","Fuels","Products (All)","Fuels","Fuels",TRUE,"Products (All)","Supplies","Supplies",0.8992,0.7860827,0.768284347,0.753098827,0.756027714,0.7401411,0.7395,7.13770863435431e-05,7.11005681466328e-05,7.26266923968957e-05,7.26896551724138e-05,4.73041078697446,2001-09-30,2000-10-01,TRUE,0,2.32326751994397e-08,4.04316867054902e-08,0,"No history [0-3]",3.28673418976192e-08
"9",2002-01-01,"Fuels","Defense","Air Force","9150","OIL & GREASE-CUT,LUBR & HYDRAULIC",-2,0,0,0,0,"Not PBL","Not PBL",91519,"Air Force","Air Force","Air Force","Air Force",FALSE,"Fuels","Fuels","Products (All)","Fuels","Fuels",TRUE,"Products (All)","Supplies","Supplies",0.9138,0.798846053,0.780758715,0.765326633,0.768591224,0.752442113,0.7518,0.000119581621824991,0.000119073698921132,0.000121629290039485,0.000121733173716414,4.96151126607248,2002-09-30,2001-10-01,TRUE,0,3.89076998541566e-08,6.77108390415773e-08,0,"No history [0-3]",5.50428507513139e-08
"10",2001-01-01,"Fuels","Defense","DLA","9130","LIQUID PROPELLANTS -PETROLEUM BASE",-2,0,0,0,0,"Not PBL","Not PBL",473799,"Other DoD","DLA","DLA","DLA",FALSE,"Fuels","Fuels","Products (All)","Fuels","Fuels",TRUE,"Products (All)","Supplies","Supplies",0.8992,0.7860827,0.768284347,0.753098827,0.756027714,0.7401411,0.7395,0.000629132569343386,0.000626695280115088,0.000640146858484146,0.000640701825557809,5.67559413976594,2001-09-30,2000-10-01,TRUE,0,2.04777658905743e-07,3.5637334392556e-07,0,"No history [0-3]",2.89699626516168e-07
"11",2002-01-01,"Fuels","Defense","Army","9150","OIL & GREASE-CUT,LUBR & HYDRAULIC",-2,0,0,0,0,"Not PBL","Not PBL",29660,"Army","Army","Army","Army",FALSE,"Fuels","Fuels","Products (All)","Fuels","Fuels",TRUE,"Products (All)","Supplies","Supplies",0.9138,0.798846053,0.780758715,0.765326633,0.768591224,0.752442113,0.7518,3.87546946899468e-05,3.8590084135543e-05,3.94183146949937e-05,3.94519819100825e-05,4.47217114669236,2002-09-30,2001-10-01,TRUE,0,1.26094294919556e-08,2.19441152763162e-08,0,"No history [0-3]",1.78386013099353e-08
"12",2002-01-01,"Clothing & Subsistence","Defense","Army","8945","FOOD, OILS AND FATS",-2,0,0,0,0,"Not PBL","Not PBL",9374,"Army","Army","Army","Army",FALSE,"Clothing & Subsistence","Products","Products (All)","Clothing & Subsistence","Clothing & Sub.",TRUE,"Products (All)","Supplies","Supplies",0.9138,0.798846053,0.780758715,0.765326633,0.768591224,0.752442113,0.7518,1.22483650715968e-05,1.2196340144524e-05,1.24581012120995e-05,1.24687416866188e-05,3.97192494918419,2002-09-30,2001-10-01,TRUE,0,3.98519191023573e-09,6.93540581929157e-09,0,"No history [0-3]",5.63786408224322e-09
"13",2002-01-01,"Fuels","Defense","Army","9140","FUEL OILS",-2,0,0,0,0,"Not PBL","Not PBL",18729390,"Army","Army","Army","Army",FALSE,"Fuels","Fuels","Products (All)","Fuels","Fuels",TRUE,"Products (All)","Supplies","Supplies",0.9138,0.798846053,0.780758715,0.765326633,0.768591224,0.752442113,0.7518,0.0244724137282179,0.0243684671580377,0.0248914696245876,0.0249127294493216,7.27252363301069,2002-09-30,2001-10-01,TRUE,0,7.96247210493385e-06,1.38570429270089e-05,0,"No history [0-3]",1.12645354345344e-05
"14",2002-01-01,"Fuels","Defense","Army","9130","LIQUID PROPELLANTS -PETROLEUM BASE",-2,0,0,0,0,"Not PBL","Not PBL",201446,"Army","Army","Army","Army",FALSE,"Fuels","Fuels","Products (All)","Fuels","Fuels",TRUE,"Products (All)","Supplies","Supplies",0.9138,0.798846053,0.780758715,0.765326633,0.768591224,0.752442113,0.7518,0.000263215719032739,0.000262097710342839,0.000267722920500597,0.000267951582867784,5.30415864826858,2002-09-30,2001-10-01,TRUE,0,8.56412384840352e-08,1.49040938838597e-07,0,"No history [0-3]",1.21156941317641e-07
"15",2002-01-01,"Fuels","Defense","DLA","9130","LIQUID PROPELLANTS -PETROLEUM BASE",-2,0,0,0,0,"Not PBL","Not PBL",42806,"Other DoD","DLA","DLA","DLA",FALSE,"Fuels","Fuels","Products (All)","Fuels","Fuels",TRUE,"Products (All)","Supplies","Supplies",0.9138,0.798846053,0.780758715,0.765326633,0.768591224,0.752442113,0.7518,5.59316743391054e-05,5.56941045686465e-05,5.68894261238672e-05,5.69380154296355e-05,4.63150464715012,2002-09-30,2001-10-01,TRUE,0,1.81982211339397e-08,3.16702561873901e-08,0,"No history [0-3]",2.57450831986882e-08
"16",2003-01-01,"Other","Defense","Army","5530","PLYWOOD AND VENEER",-2,0,0,0,0,"Not PBL","Not PBL",22845,"Army","Army","Army","Army",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",0.9378,0.819826908,0.801264525,0.785427136,0.790300231,0.77369754,0.773,2.90860844410652e-05,2.89067358250589e-05,2.95270423116506e-05,2.95536869340233e-05,4.35879116239172,2003-09-30,2002-10-01,TRUE,0,9.44578988379438e-09,1.64384520503551e-08,0,"No history [0-3]",1.33629899673039e-08
"17",2003-01-01,"Other","Defense","Army","5510","LUMBER & RELATED WOOD MATERIALS",-2,0,0,0,0,"Not PBL","Not PBL",20831,"Army","Army","Army","Army",FALSE,"Other","Products","Products (All)","Other","Other Products",TRUE,"Products (All)","Supplies","Supplies",0.9378,0.819826908,0.801264525,0.785427136,0.790300231,0.77369754,0.773,2.65218745892681e-05,2.63583372279186e-05,2.69239579073755e-05,2.69482535575679e-05,4.31871011891834,2003-09-30,2002-10-01,TRUE,0,8.61305533242813e-09,1.49892490549769e-08,0,"No history [0-3]",1.21849176628981e-08
"18",2003-01-01,"Clothing & Subsistence","Defense","Army","8905","MEAT, POULTRY, AND FISH",-2,0,0,0,0,"Not PBL","Not PBL",26596,"Army","Army","Army","Army",FALSE,"Clothing & Subsistence","Products","Products (All)","Clothing & Subsistence","Clothing & Sub.",TRUE,"Products (All)","Supplies","Supplies",0.9378,0.819826908,0.801264525,0.785427136,0.790300231,0.77369754,0.773,3.3861829800594e-05,3.36530333115897e-05,3.43751900775075e-05,3.44062095730919e-05,4.42481632427935,2003-09-30,2002-10-01,TRUE,0,1.09967269752416e-08,1.91375386619061e-08,0,"No history [0-3]",1.55571057636426e-08
"19",2003-01-01,"Clothing & Subsistence","Defense","Army","8945","FOOD, OILS AND FATS",-2,0,0,0,0,"Not PBL","Not PBL",26381,"Army","Army","Army","Army",FALSE,"Clothing & Subsistence","Products","Products (All)","Clothing & Subsistence","Clothing & Sub.",TRUE,"Products (All)","Supplies","Supplies",0.9378,0.819826908,0.801264525,0.785427136,0.790300231,0.77369754,0.773,3.35880933963555e-05,3.33809848019645e-05,3.40973037086301e-05,3.41280724450194e-05,4.42129125391886,2003-09-30,2002-10-01,TRUE,0,1.0907830287782e-08,1.89828322845444e-08,0,"No history [0-3]",1.54313433279687e-08
"20",2003-01-01,"Fuels","Defense","Army","9110","FUELS, SOLID",-2,0,0,0,0,"Not PBL","Not PBL",41689,"Army","Army","Army","Army",FALSE,"Fuels","Fuels","Products (All)","Fuels","Fuels",TRUE,"Products (All)","Supplies","Supplies",0.9378,0.819826908,0.801264525,0.785427136,0.790300231,0.77369754,0.773,5.30781253781382e-05,5.27508386872786e-05,5.38828131727031e-05,5.39314359637775e-05,4.62002147776744,2003-09-30,2002-10-01,TRUE,0,1.72372744349093e-08,2.99979263526922e-08,0,"No history [0-3]",2.43856287479506e-08
"21",2003-01-01,"Fuels","Defense","Army","9140","FUEL OILS",-2,0,0,0,0,"Not PBL","Not PBL",183648,"Army","Army","Army","Army",FALSE,"Fuels","Fuels","Products (All)","Fuels","Fuels",TRUE,"Products (All)","Supplies","Supplies",0.9378,0.819826908,0.801264525,0.785427136,0.790300231,0.77369754,0.773,0.000233819270537656,0.000232377510212318,0.000237364073821406,0.000237578266494179,5.26398620306686,2003-09-30,2002-10-01,TRUE,0,7.59334830632116e-08,1.32146589719571e-07,0,"No history [0-3]",1.07423347844842e-07
"22",2003-01-01,"Fuels","Defense","Army","9150","OIL & GREASE-CUT,LUBR & HYDRAULIC",-2,0,0,0,0,"Not PBL","Not PBL",119888,"Army","Army","Army","Army",FALSE,"Fuels","Fuels","Products (All)","Fuels","Fuels",TRUE,"Products (All)","Supplies","Supplies",0.9378,0.819826908,0.801264525,0.785427136,0.790300231,0.77369754,0.773,0.000152640511773711,0.000151699310334632,0.000154954609265011,0.000155094437257439,5.07877571525403,2003-09-30,2002-10-01,TRUE,0,4.95704468193627e-08,8.62671542750261e-08,0,"No history [0-3]",7.01274738980139e-08
"23",2003-01-01,"Fuels","Defense","Army","9130","LIQUID PROPELLANTS -PETROLEUM BASE",-2,0,0,0,0,"Not PBL","Not PBL",137190,"Army","Army","Army","Army",FALSE,"Fuels","Fuels","Products (All)","Fuels","Fuels",TRUE,"Products (All)","Supplies","Supplies",0.9378,0.819826908,0.801264525,0.785427136,0.790300231,0.77369754,0.773,0.000174669289755734,0.000173592255978981,0.000177317353238579,0.000177477360931436,5.13732245610034,2003-09-30,2002-10-01,TRUE,0,5.67243560585577e-08,9.87170600476347e-08,0,"No history [0-3]",8.02481327911762e-08
