"","Fiscal.Year","Customer","SubCustomer","AddressCat","ProductOrServiceArea","ProductOrServiceCode","ProductOrServiceCodeText","Obligation.2014"
"11137",2014-01-01,"Defense","DLA","Promising [9-10]","Aircraft","1510","AIRCRAFT, FIXED WING",0
"11138",2014-01-01,"Defense","DLA","Promising [9-10]","Aircraft","1550","DRONES",0.037484784
"11139",2014-01-01,"Defense","DLA","Promising [9-10]","Aircraft","1560","AIRFRAME STRUCTURAL COMPONENTS",0.2008801734956
"11140",2014-01-01,"Defense","DLA","Promising [9-10]","Aircraft","1615","HELICOPTER ROTOR BLADES, DRIVE MECHANISMS AND COMPONENTS",0.074775715953
"11141",2014-01-01,"Defense","DLA","Promising [9-10]","Aircraft","1680","MISCELLANEOUS AIRCRAFT ACCESSORIES AND COMPONENTS",0.436219481818
"11142",2014-01-01,"Defense","DLA","Promising [9-10]","Electronics & Communications","5840","RADAR EQUIPMENT, EXCEPT AIRBORNE",0.004577227
"11143",2014-01-01,"Defense","DLA","Promising [9-10]","Electronics & Communications","5865","ELEC COUNTERMEASURE & QUICK REAC EQ",0.018297762
"11144",2014-01-01,"Defense","DLA","Promising [9-10]","Electronics & Communications","5985","ANTENNAS WAVEGUIDES & RELATED EQ",0.0602507181307
"11145",2014-01-01,"Defense","DLA","Promising [9-10]","Electronics & Communications","5998","ELE ASSEMB-BDS CARDS-ASSOC HARDWARE",0.0381104691767
"11146",2014-01-01,"Defense","DLA","Promising [9-10]","Engines & Power Plants","2840","GAS TURBINES & JET ENGINES AIRCRAFT",0.3667416887136
"11147",2014-01-01,"Defense","DLA","Promising [9-10]","PAMS","R425","ENGINEERING AND TECHNICAL SERVICES",0.0049786338438
"11148",2014-01-01,"Defense","DLA","Promising [9-10]","PAMS","R499","OTHER PROFESSIONAL SERVICES",0.0011528888698
"11149",2014-01-01,"Defense","DLA","Uncommon [6-8]","Aircraft","1270","AIRCRAFT GUNNERY FIRE CONT COMPS",0.0240159675155
"11150",2014-01-01,"Defense","DLA","Uncommon [6-8]","Aircraft","1520","AIRCRAFT, ROTARY WING",0
"11151",2014-01-01,"Defense","DLA","Uncommon [6-8]","Aircraft","1560","AIRFRAME STRUCTURAL COMPONENTS",0.4312085811601
"11152",2014-01-01,"Defense","DLA","Uncommon [6-8]","Aircraft","1610","AIRCRAFT PROPELLERS AND COMPONENTS",0.0120640330767
"11153",2014-01-01,"Defense","DLA","Uncommon [6-8]","Aircraft","1615","HELICOPTER ROTOR BLADES, DRIVE MECHANISMS AND COMPONENTS",0.0405460782583
"11154",2014-01-01,"Defense","DLA","Uncommon [6-8]","Aircraft","1620","AIRCRAFT LANDING GEAR COMPONENTS",0.0225079230106
"11155",2014-01-01,"Defense","DLA","Uncommon [6-8]","Aircraft","1630","AIRCRAFT WHEEL AND BRAKE SYSTEMS",0.0011953129521
"11156",2014-01-01,"Defense","DLA","Uncommon [6-8]","Aircraft","1640","AIRCRAFT CONTROL CABLE PRODUCTS",5.12537702e-05
"11157",2014-01-01,"Defense","DLA","Uncommon [6-8]","Aircraft","1650","AIRCRAFT HYDRAULIC VACUUM DE-ICING",0.0386543061115
"11158",2014-01-01,"Defense","DLA","Uncommon [6-8]","Aircraft","1660","AIRCRAFT AIR CONDITION HEATING EQ",0.0089277101343
"11159",2014-01-01,"Defense","DLA","Uncommon [6-8]","Aircraft","1670","PARACHUTE RECOVER SYS & TIE DOWN EQ",0.0001760257105
"11160",2014-01-01,"Defense","DLA","Uncommon [6-8]","Aircraft","1680","MISCELLANEOUS AIRCRAFT ACCESSORIES AND COMPONENTS",0.3090722738851
"11161",2014-01-01,"Defense","DLA","Uncommon [6-8]","Aircraft","1710","AIRCRAFT LANDING EQUIPMENT",3.4061299e-06
"11162",2014-01-01,"Defense","DLA","Uncommon [6-8]","Aircraft","1720","AIRCRAFT LAUNCHING EQUIPMENT",0
"11163",2014-01-01,"Defense","DLA","Uncommon [6-8]","Aircraft","1730","AIRCRAFT GROUND SERVICING EQUIPMENT",0.0057849303907
"11164",2014-01-01,"Defense","DLA","Uncommon [6-8]","Aircraft","4920","AIRCRAFT MAINT & REP SHOP EQ",0.0174490183257
"11165",2014-01-01,"Defense","DLA","Uncommon [6-8]","Aircraft","5821","RADIO & TV EQ AIRBORNE",0.0175733203846
"11166",2014-01-01,"Defense","DLA","Uncommon [6-8]","Aircraft","5841","RADAR EQUIPMENT, AIRBORNE",0.0133794542222
"11167",2014-01-01,"Defense","DLA","Uncommon [6-8]","Aircraft","6340","AIRCRAFT ALARM AND SIGNAL SYSTEMS",0.000157922
"11168",2014-01-01,"Defense","DLA","Uncommon [6-8]","Aircraft","6610","FLIGHT INSTRUMENTS",0.0215866485512
"11169",2014-01-01,"Defense","DLA","Uncommon [6-8]","Aircraft","6615","AUTO PILOT MECHANISMS AIRBORNE GYRO",0.0143328462231
"11170",2014-01-01,"Defense","DLA","Uncommon [6-8]","Clothing & Subsistence","8475","SPEC FLIGHT CLOTHING & ACCESSORIES",0
"11171",2014-01-01,"Defense","DLA","Uncommon [6-8]","Electronics & Communications","5805","TELEPHONE AND TELEGRAPH EQUIPMENT",8.33401992e-05
"11172",2014-01-01,"Defense","DLA","Uncommon [6-8]","Electronics & Communications","5810","COMM SECURITY EQ & COMPS",0.0003433
"11173",2014-01-01,"Defense","DLA","Uncommon [6-8]","Electronics & Communications","5820","RADIO AND TELEVISION COMMUNICATION EQUIPMENT, EXCEPT AIRBORNE",0.0015867681953
"11174",2014-01-01,"Defense","DLA","Uncommon [6-8]","Electronics & Communications","5825","RADIO NAVIGATION EQ - EXCEPT AIR",0.0004350491875
"11175",2014-01-01,"Defense","DLA","Uncommon [6-8]","Electronics & Communications","5830","INTERCOMM PUBLIC ADDRESS SYS EX AIR",0.002032118
"11176",2014-01-01,"Defense","DLA","Uncommon [6-8]","Electronics & Communications","5840","RADAR EQUIPMENT, EXCEPT AIRBORNE",0.0065865956886
"11177",2014-01-01,"Defense","DLA","Uncommon [6-8]","Electronics & Communications","5855","NIGHT VISION EQ",0.0257466191148
"11178",2014-01-01,"Defense","DLA","Uncommon [6-8]","Electronics & Communications","5865","ELEC COUNTERMEASURE & QUICK REAC EQ",0.0250306944202
"11179",2014-01-01,"Defense","DLA","Uncommon [6-8]","Electronics & Communications","5895","MISC COMMUNICATION EQ",0.0324679867597
"11180",2014-01-01,"Defense","DLA","Uncommon [6-8]","Electronics & Communications","5905","RESISTORS",0.0027736630799
"11181",2014-01-01,"Defense","DLA","Uncommon [6-8]","Electronics & Communications","5910","CAPACITORS",9.5950629e-05
"11182",2014-01-01,"Defense","DLA","Uncommon [6-8]","Electronics & Communications","5915","FILTERS AND NETWORKS",0.0008163273002
"11183",2014-01-01,"Defense","DLA","Uncommon [6-8]","Electronics & Communications","5930","SWITCHES",0.005726343867
"11184",2014-01-01,"Defense","DLA","Uncommon [6-8]","Electronics & Communications","5935","CONNECTORS, ELECTRICAL",3.476046e-05
"11185",2014-01-01,"Defense","DLA","Uncommon [6-8]","Electronics & Communications","5945","RELAYS AND SOLENOIDS",0.0015293352413
"11186",2014-01-01,"Defense","DLA","Uncommon [6-8]","Electronics & Communications","5960","ELECTRON TUBES & ASSOC HARDWARE",0.059814494579
